"Date Printed: Sunday, March 16, 2025 10:32:39 PM"
Title: "AIDS deaths | AIDS prevalence | HIV Stigma | HIV deaths | HIV diagnoses | HIV prevalence | Linkage to HIV care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | Unstable Housing or Homelessness | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2023 and 2024 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Numbers less than 12͵ and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Deaths in 2020 and beyond should be interpreted considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2022 are preliminary and based on death data received by CDC as of December 2023. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   Weighted percentages for unstable housing or homelessness and median HIV stigma scores are reported in the ‘Rate per 100͵000’ column with corresponding 95% confidence intervals reported in the ‘Rate LCI’ and ‘Rate UCI’ columns within the Charts and Maps tools or in parentheses within the ‘Rate per 100͵000’ column within the Tables tool.
   To allow for comparison with other HIV indicators͵ data are presented for persons aged ≥13 years and aged 13-24 years. However͵ these estimates are representative of persons with diagnosed HIV aged ≥18 years and 18-24 years͵ respectively. 
   For unstable housing or homelessness͵ estimates with a coefficient of variation ≥0.30 or those based on a denominator sample size less than 30 were suppressed. For HIV stigma͵ estimates based on a denominator sample size less than 30 were suppressed.
   See Technical Notes for more details on data availability͵ stratifications͵ and variable definitions.
   * Estimates with an absolute CI width ≥30͵ estimates with an absolute CI width between 5 and 30 and a relative CI width greater than 130%͵ and estimates of 0% or 100% should be interpreted with caution.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   The 'Sex' column is used for either sex assigned at birth or gender identity.
   NA - Not applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000 (95% CI),Percent
"HIV Stigma","2022","Nevada","32","Data not available","Data not available","NA"
"HIV deaths","2022","Nevada","32","189","7.0","NA"
"HIV diagnoses","2022","Nevada","32","528","19.6","NA"
"Linkage to HIV care","2022","Nevada","32","467","NA","88.4"
"Unstable Housing or Homelessness","2022","Nevada","32","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","New Hampshire","33","1,054","NA","77.6"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","1,038","NA","34.4"
"HIV prevalence","2022","New Hampshire","33","1,385","113.4","NA"
"AIDS deaths","2022","New Hampshire","33","18","1.5","NA"
"AIDS prevalence","2022","New Hampshire","33","651","53.3","NA"
"HIV Stigma","2022","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2022","New Hampshire","33","28","2.3","NA"
"HIV diagnoses","2022","New Hampshire","33","28","2.3","NA"
"Linkage to HIV care","2022","New Hampshire","33","20","NA","71.4"
"Unstable Housing or Homelessness","2022","New Hampshire","33","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","8,934","NA","35.3"
"HIV prevalence","2022","New Jersey","34","35,360","449.7","NA"
"HIV diagnoses","2022","New Jersey","34","1,090","13.9","NA"
"AIDS prevalence","2022","New Jersey","34","17,115","217.7","NA"
"AIDS deaths","2022","New Jersey","34","497","6.3","NA"
"HIV Stigma","2022","New Jersey","34","No Suppression","26.9 (23.6 - 30.2)","NA"
"HIV deaths","2022","New Jersey","34","678","8.6","NA"
"Linkage to HIV care","2022","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2022","New Jersey","34","Data not available","NA","Data not available"
"Unstable Housing or Homelessness","2022","New Jersey","34","No Suppression","13.6 (7.9 - 19.4)","NA"
"Receipt of HIV medical care","2022","New Mexico","35","2,925","NA","75.1"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","2,032","NA","29.9"
"HIV prevalence","2022","New Mexico","35","4,032","224.3","NA"
"AIDS prevalence","2022","New Mexico","35","2,001","111.3","NA"
"AIDS deaths","2022","New Mexico","35","50","2.8","NA"
"HIV Stigma","2022","New Mexico","35","Data not available","Data not available","NA"
"HIV deaths","2022","New Mexico","35","71","4.0","NA"
"HIV diagnoses","2022","New Mexico","35","94","5.2","NA"
"Linkage to HIV care","2022","New Mexico","35","83","NA","88.3"
"Unstable Housing or Homelessness","2022","New Mexico","35","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","New York","36","88,731","NA","72.4"
"PrEP coverage and number of persons prescribed","2022","New York","36","46,046","NA","63.4"
"Linkage to HIV care","2022","New York","36","1,923","NA","86.4"
"HIV prevalence","2022","New York","36","124,940","741.9","NA"
"HIV diagnoses","2022","New York","36","2,226","13.2","NA"
"HIV deaths","2022","New York","36","2,048","12.2","NA"
"AIDS prevalence","2022","New York","36","67,808","402.6","NA"
"AIDS deaths","2022","New York","36","1,634","9.7","NA"
"HIV Stigma","2022","New York","36","No Suppression","31.4 (28.1 - 34.7)","NA"
"Unstable Housing or Homelessness","2022","New York","36","No Suppression","13.6 (9.8 - 17.3)","NA"
"Receipt of HIV medical care","2022","North Carolina","37","25,581","NA","76.0"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","9,976","NA","30.7"
"Linkage to HIV care","2022","North Carolina","37","1,084","NA","80.1"
"HIV prevalence","2022","North Carolina","37","35,016","385.0","NA"
"HIV diagnoses","2022","North Carolina","37","1,353","14.9","NA"
"AIDS prevalence","2022","North Carolina","37","15,147","166.6","NA"
"AIDS deaths","2022","North Carolina","37","433","4.8","NA"
"HIV Stigma","2022","North Carolina","37","No Suppression","28.8 (24.0 - 33.6)","NA"
"HIV deaths","2022","North Carolina","37","686","7.5","NA"
"Unstable Housing or Homelessness","2022","North Carolina","37","No Suppression","17.9 (11.8 - 24.0)","NA"
"AIDS deaths","2022","North Dakota","38","9","1.4","NA"
"AIDS prevalence","2022","North Dakota","38","236","36.5","NA"
"HIV Stigma","2022","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2022","North Dakota","38","11","1.7","NA"
"HIV diagnoses","2022","North Dakota","38","38","5.9","NA"
"HIV prevalence","2022","North Dakota","38","545","84.3","NA"
"Linkage to HIV care","2022","North Dakota","38","34","NA","89.5"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","338","NA","22.2"
"Receipt of HIV medical care","2022","North Dakota","38","393","NA","77.4"
"Unstable Housing or Homelessness","2022","North Dakota","38","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Ohio","39","18,110","NA","76.6"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","10,338","NA","25.6"
"HIV prevalence","2022","Ohio","39","24,501","246.1","NA"
"AIDS prevalence","2022","Ohio","39","11,134","111.8","NA"
"AIDS deaths","2022","Ohio","39","313","3.1","NA"
"HIV Stigma","2022","Ohio","39","Data not available","Data not available","NA"
"HIV deaths","2022","Ohio","39","439","4.4","NA"
"HIV diagnoses","2022","Ohio","39","855","8.6","NA"
"Linkage to HIV care","2022","Ohio","39","699","NA","81.8"
"Unstable Housing or Homelessness","2022","Ohio","39","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Oklahoma","40","5,216","NA","75.7"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","2,772","NA","25.1"
"HIV prevalence","2022","Oklahoma","40","7,264","217.0","NA"
"AIDS prevalence","2022","Oklahoma","40","3,209","95.9","NA"
"AIDS deaths","2022","Oklahoma","40","114","3.4","NA"
"HIV Stigma","2022","Oklahoma","40","Data not available","Data not available","NA"
"HIV deaths","2022","Oklahoma","40","158","4.7","NA"
"HIV diagnoses","2022","Oklahoma","40","394","11.8","NA"
"Linkage to HIV care","2022","Oklahoma","40","318","NA","80.7"
"Unstable Housing or Homelessness","2022","Oklahoma","40","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Oregon","41","6,323","NA","86.5"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","6,053","NA","30.6"
"HIV prevalence","2022","Oregon","41","7,553","206.5","NA"
"AIDS prevalence","2022","Oregon","41","3,816","104.3","NA"
"AIDS deaths","2022","Oregon","41","140","3.8","NA"
"HIV Stigma","2022","Oregon","41","No Suppression","31.2 (27.5 - 34.9)","NA"
"HIV deaths","2022","Oregon","41","181","4.9","NA"
"HIV diagnoses","2022","Oregon","41","250","6.8","NA"
"Linkage to HIV care","2022","Oregon","41","206","NA","82.4"
"Unstable Housing or Homelessness","2022","Oregon","41","No Suppression","15.8 (8.0 - 23.6)","NA"
"Receipt of HIV medical care","2022","Pennsylvania","42","25,975","NA","72.0"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","16,071","NA","44.0"
"HIV prevalence","2022","Pennsylvania","42","37,233","334.4","NA"
"AIDS prevalence","2022","Pennsylvania","42","19,206","172.5","NA"
"AIDS deaths","2022","Pennsylvania","42","538","4.8","NA"
"HIV Stigma","2022","Pennsylvania","42","No Suppression","31.0 (25.7 - 36.3)","NA"
"HIV deaths","2022","Pennsylvania","42","742","6.7","NA"
"HIV diagnoses","2022","Pennsylvania","42","954","8.6","NA"
"Linkage to HIV care","2022","Pennsylvania","42","788","NA","82.6"
"Unstable Housing or Homelessness","2022","Pennsylvania","42","No Suppression","17.6 (11.8 - 23.4)","NA"
"Receipt of HIV medical care","2022","Rhode Island","44","2,108","NA","78.7"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","1,831","NA","47.2"
"HIV prevalence","2022","Rhode Island","44","2,753","289.4","NA"
"AIDS prevalence","2022","Rhode Island","44","1,386","145.7","NA"
"AIDS deaths","2022","Rhode Island","44","24","2.5","NA"
"HIV Stigma","2022","Rhode Island","44","Data not available","Data not available","NA"
"HIV deaths","2022","Rhode Island","44","33","3.5","NA"
"HIV diagnoses","2022","Rhode Island","44","68","7.1","NA"
"Linkage to HIV care","2022","Rhode Island","44","62","NA","91.2"
"Unstable Housing or Homelessness","2022","Rhode Island","44","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","South Carolina","45","14,273","NA","80.4"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","3,649","NA","35.1"
"HIV prevalence","2022","South Carolina","45","18,442","409.6","NA"
"AIDS prevalence","2022","South Carolina","45","9,448","209.8","NA"
"AIDS deaths","2022","South Carolina","45","230","5.1","NA"
"HIV Stigma","2022","South Carolina","45","Data not available","Data not available","NA"
"HIV deaths","2022","South Carolina","45","304","6.8","NA"
"HIV diagnoses","2022","South Carolina","45","717","15.9","NA"
"Linkage to HIV care","2022","South Carolina","45","560","NA","78.1"
"Unstable Housing or Homelessness","2022","South Carolina","45","Data not available","Data not available","NA"
"AIDS deaths","2022","South Dakota","46","10","1.3","NA"
"AIDS prevalence","2022","South Dakota","46","338","44.9","NA"
"HIV Stigma","2022","South Dakota","46","Data not available","Data not available","NA"
"HIV deaths","2022","South Dakota","46","14","1.9","NA"
"HIV diagnoses","2022","South Dakota","46","40","5.3","NA"
"HIV prevalence","2022","South Dakota","46","770","102.2","NA"
"Linkage to HIV care","2022","South Dakota","46","28","NA","70.0"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","321","NA","35.3"
"Receipt of HIV medical care","2022","South Dakota","46","645","NA","88.8"
"Unstable Housing or Homelessness","2022","South Dakota","46","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Tennessee","47","14,819","NA","80.1"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","8,849","NA","39.4"
"HIV prevalence","2022","Tennessee","47","19,351","324.2","NA"
"AIDS prevalence","2022","Tennessee","47","8,890","148.9","NA"
"AIDS deaths","2022","Tennessee","47","316","5.3","NA"
"HIV Stigma","2022","Tennessee","47","Data not available","Data not available","NA"
"HIV deaths","2022","Tennessee","47","445","7.5","NA"
"HIV diagnoses","2022","Tennessee","47","860","14.4","NA"
"Linkage to HIV care","2022","Tennessee","47","601","NA","69.9"
"Unstable Housing or Homelessness","2022","Tennessee","47","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Texas","48","76,550","NA","76.3"
"PrEP coverage and number of persons prescribed","2022","Texas","48","40,707","NA","32.9"
"Linkage to HIV care","2022","Texas","48","3,913","NA","79.9"
"HIV prevalence","2022","Texas","48","105,365","425.2","NA"
"HIV diagnoses","2022","Texas","48","4,896","19.8","NA"
"HIV deaths","2022","Texas","48","1,578","6.4","NA"
"AIDS prevalence","2022","Texas","48","48,671","196.4","NA"
"AIDS deaths","2022","Texas","48","1,241","5.0","NA"
"HIV Stigma","2022","Texas","48","No Suppression","33.4 (30.7 - 36.0)","NA"
"Unstable Housing or Homelessness","2022","Texas","48","No Suppression","14.7 (10.5 - 19.0)","NA"
"Receipt of HIV medical care","2022","Utah","49","2,621","NA","75.6"
"PrEP coverage and number of persons prescribed","2022","Utah","49","4,017","NA","58.7"
"HIV prevalence","2022","Utah","49","3,619","132.5","NA"
"AIDS prevalence","2022","Utah","49","1,596","58.4","NA"
"AIDS deaths","2022","Utah","49","20","0.7","NA"
"HIV Stigma","2022","Utah","49","Data not available","Data not available","NA"
"HIV deaths","2022","Utah","49","23","0.8","NA"
"HIV diagnoses","2022","Utah","49","155","5.7","NA"
"Linkage to HIV care","2022","Utah","49","125","NA","80.6"
"Unstable Housing or Homelessness","2022","Utah","49","Data not available","Data not available","NA"
"AIDS deaths","2022","Vermont","50","6","1.1","NA"
"AIDS prevalence","2022","Vermont","50","389","68.5","NA"
"HIV Stigma","2022","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2022","Vermont","50","11","1.9","NA"
"HIV diagnoses","2022","Vermont","50","4","0.7","NA"
"HIV prevalence","2022","Vermont","50","757","133.2","NA"
"Linkage to HIV care","2022","Vermont","50","4","NA","100.0"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","576","NA","54.3"
"Receipt of HIV medical care","2022","Vermont","50","597","NA","79.6"
"Unstable Housing or Homelessness","2022","Vermont","50","Data not available","Data not available","NA"
"Receipt of HIV medical care","2022","Virginia","51","17,357","NA","72.2"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","7,542","NA","24.0"
"HIV prevalence","2022","Virginia","51","24,886","337.8","NA"
"AIDS prevalence","2022","Virginia","51","11,497","156.1","NA"
"AIDS deaths","2022","Virginia","51","256","3.5","NA"
"HIV Stigma","2022","Virginia","51","No Suppression","32.0 (27.2 - 36.8)","NA"
"HIV deaths","2022","Virginia","51","343","4.7","NA"
"HIV diagnoses","2022","Virginia","51","834","11.3","NA"
"Linkage to HIV care","2022","Virginia","51","684","NA","82.0"
"Unstable Housing or Homelessness","2022","Virginia","51","No Suppression","21.0 (13.9 - 28.1)","NA"
"Receipt of HIV medical care","2022","Washington","53","12,234","NA","84.8"
"PrEP coverage and number of persons prescribed","2022","Washington","53","13,761","NA","34.4"
"HIV prevalence","2022","Washington","53","14,928","225.6","NA"
"AIDS prevalence","2022","Washington","53","7,261","109.7","NA"
"AIDS deaths","2022","Washington","53","166","2.5","NA"
"HIV Stigma","2022","Washington","53","No Suppression","26.1 (21.5 - 30.6)","NA"
"HIV deaths","2022","Washington","53","212","3.2","NA"
"HIV diagnoses","2022","Washington","53","491","7.4","NA"
"Linkage to HIV care","2022","Washington","53","433","NA","88.2"
"Unstable Housing or Homelessness","2022","Washington","53","No Suppression","15.9 (10.3 - 21.5)","NA"
"Receipt of HIV medical care","2022","West Virginia","54","1,473","NA","68.1"
"HIV Stigma","2022","West Virginia","54","Data not available","Data not available","NA"
"HIV diagnoses","2022","West Virginia","54","136","8.9","NA"
"Linkage to HIV care","2022","West Virginia","54","85","NA","62.5"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","906","NA","17.3"
"Unstable Housing or Homelessness","2022","West Virginia","54","Data not available","Data not available","NA"
"HIV prevalence","2022","West Virginia^","54","2,289","149.6","NA"
"AIDS prevalence","2022","West Virginia^","54","1,068","69.8","NA"
"AIDS deaths","2022","West Virginia^","54","53","3.5","NA"
"HIV deaths","2022","West Virginia^","54","70","4.6","NA"
"Receipt of HIV medical care","2022","Wisconsin","55","5,516","NA","82.9"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","3,348","NA","25.8"
"HIV prevalence","2022","Wisconsin","55","6,943","138.1","NA"
"AIDS prevalence","2022","Wisconsin","55","3,106","61.8","NA"
"AIDS deaths","2022","Wisconsin","55","100","2.0","NA"
"HIV Stigma","2022","Wisconsin","55","Data not available","Data not available","NA"
"HIV deaths","2022","Wisconsin","55","138","2.7","NA"
"HIV diagnoses","2022","Wisconsin","55","291","5.8","NA"
"Linkage to HIV care","2022","Wisconsin","55","263","NA","90.4"
"Unstable Housing or Homelessness","2022","Wisconsin","55","Data not available","Data not available","NA"
"AIDS deaths","2022","Wyoming","56","3","0.6","NA"
"AIDS prevalence","2022","Wyoming","56","187","38.0","NA"
"HIV Stigma","2022","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2022","Wyoming","56","5","1.0","NA"
"HIV diagnoses","2022","Wyoming","56","13","2.6","NA"
"HIV prevalence","2022","Wyoming","56","379","77.1","NA"
"Linkage to HIV care","2022","Wyoming","56","12","NA","92.3"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","183","NA","20.6"
"Receipt of HIV medical care","2022","Wyoming","56","306","NA","83.8"
"Unstable Housing or Homelessness","2022","Wyoming","56","Data not available","Data not available","NA"
"AIDS deaths","2021","Alabama","01","246","5.8","NA"
"HIV Stigma","2021","Alabama","01","Data not available","Data not available","NA"
"HIV deaths","2021","Alabama","01","354","8.3","NA"
"HIV diagnoses","2021","Alabama","01","661","15.5","NA"
"Linkage to HIV care","2021","Alabama","01","502","NA","80.3"
"Unstable Housing or Homelessness","2021","Alabama","01","Data not available","Data not available","NA"
"AIDS deaths","2021","Alaska","02","17","2.8","NA"
"AIDS prevalence","2021","Alaska","02","367","60.6","NA"
"HIV Stigma","2021","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2021","Alaska","02","20","3.3","NA"
"HIV diagnoses","2021","Alaska","02","30","5.0","NA"
"HIV prevalence","2021","Alaska","02","750","123.9","NA"
"Linkage to HIV care","2021","Alaska","02","28","NA","93.3"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","304","NA","17.1"
"Receipt of HIV medical care","2021","Alaska","02","631","NA","87.9"
"Unstable Housing or Homelessness","2021","Alaska","02","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Arizona","04","12,733","NA","72.8"
"PrEP coverage and number of persons prescribed","2021","Arizona","04","6,582","NA","25.5"
"HIV prevalence","2021","Arizona","04","18,137","294.6","NA"
"AIDS prevalence","2021","Arizona","04","8,117","131.9","NA"
"AIDS deaths","2021","Arizona","04","265","4.3","NA"
"HIV Stigma","2021","Arizona","04","Data not available","Data not available","NA"
"HIV deaths","2021","Arizona","04","353","5.7","NA"
"HIV diagnoses","2021","Arizona","04","775","12.6","NA"
"Linkage to HIV care","2021","Arizona","04","661","NA","84.6"
"Unstable Housing or Homelessness","2021","Arizona","04","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Arkansas","05","3,953","NA","67.0"
"PrEP coverage and number of persons prescribed","2021","Arkansas","05","1,271","NA","24.8"
"HIV prevalence","2021","Arkansas","05","6,184","243.6","NA"
"AIDS prevalence","2021","Arkansas","05","2,715","106.9","NA"
"AIDS deaths","2021","Arkansas","05","94","3.7","NA"
"HIV Stigma","2021","Arkansas","05","Data not available","Data not available","NA"
"HIV deaths","2021","Arkansas","05","128","5.0","NA"
"HIV diagnoses","2021","Arkansas","05","334","13.2","NA"
"Linkage to HIV care","2021","Arkansas","05","261","NA","77.2"
"Unstable Housing or Homelessness","2021","Arkansas","05","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","California","06","98,344","NA","74.7"
"PrEP coverage and number of persons prescribed","2021","California","06","50,217","NA","30.4"
"Linkage to HIV care","2021","California","06","3,628","NA","82.5"
"HIV prevalence","2021","California","06","136,160","411.7","NA"
"HIV diagnoses","2021","California","06","4,539","13.7","NA"
"HIV deaths","2021","California","06","2,206","6.7","NA"
"AIDS prevalence","2021","California","06","69,296","209.5","NA"
"AIDS deaths","2021","California","06","1,672","5.1","NA"
"HIV Stigma","2021","California","06","No Suppression","26.5 (23.9 - 29.0)","NA"
"Unstable Housing or Homelessness","2021","California","06","No Suppression","17.5 (13.7 - 21.3)","NA"
"Receipt of HIV medical care","2021","Colorado","08","8,584","NA","65.9"
"PrEP coverage and number of persons prescribed","2021","Colorado","08","6,200","NA","24.7"
"HIV prevalence","2021","Colorado","08","13,378","270.2","NA"
"AIDS prevalence","2021","Colorado","08","5,506","111.2","NA"
"AIDS deaths","2021","Colorado","08","148","3.0","NA"
"HIV Stigma","2021","Colorado","08","Data not available","Data not available","NA"
"HIV deaths","2021","Colorado","08","187","3.8","NA"
"HIV diagnoses","2021","Colorado","08","403","8.1","NA"
"Linkage to HIV care","2021","Colorado","08","343","NA","84.5"
"Unstable Housing or Homelessness","2021","Colorado","08","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Connecticut","09","8,270","NA","79.5"
"PrEP coverage and number of persons prescribed","2021","Connecticut","09","3,048","NA","31.9"
"HIV prevalence","2021","Connecticut","09","10,571","338.8","NA"
"AIDS prevalence","2021","Connecticut","09","6,208","199.0","NA"
"AIDS deaths","2021","Connecticut","09","161","5.2","NA"
"HIV Stigma","2021","Connecticut","09","Data not available","Data not available","NA"
"HIV deaths","2021","Connecticut","09","215","6.9","NA"
"HIV diagnoses","2021","Connecticut","09","232","7.4","NA"
"Linkage to HIV care","2021","Connecticut","09","204","NA","87.6"
"Unstable Housing or Homelessness","2021","Connecticut","09","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Delaware","10","2,822","NA","82.1"
"HIV prevalence","2021","Delaware","10","3,473","404.1","NA"
"AIDS prevalence","2021","Delaware","10","2,055","239.1","NA"
"AIDS deaths","2021","Delaware","10","81","9.4","NA"
"HIV Stigma","2021","Delaware","10","No Suppression","28.9 (25.7 - 32.0)","NA"
"HIV deaths","2021","Delaware","10","103","12.0","NA"
"HIV diagnoses","2021","Delaware","10","82","9.5","NA"
"Linkage to HIV care","2021","Delaware","10","68","NA","84.0"
"PrEP coverage and number of persons prescribed","2021","Delaware","10","658","NA","15.0"
"Unstable Housing or Homelessness","2021","Delaware","10","No Suppression","16.3 (10.5 - 22.1)","NA"
"Receipt of HIV medical care","2021","District of Columbia","11","8,798","NA","65.7"
"PrEP coverage and number of persons prescribed","2021","District of Columbia","11","6,840","NA","52.8"
"HIV prevalence","2021","District of Columbia","11","13,558","2369.2","NA"
"AIDS prevalence","2021","District of Columbia","11","7,071","1235.6","NA"
"AIDS deaths","2021","District of Columbia","11","199","34.8","NA"
"HIV Stigma","2021","District of Columbia","11","Data not available","Data not available","NA"
"HIV deaths","2021","District of Columbia","11","269","47.0","NA"
"HIV diagnoses","2021","District of Columbia","11","198","34.6","NA"
"Linkage to HIV care","2021","District of Columbia","11","154","NA","79.0"
"Unstable Housing or Homelessness","2021","District of Columbia","11","Data not available","Data not available","NA"
"Receipt of HIV medical care","2021","Florida","12","87,864","NA","77.6"
"PrEP coverage and number of persons prescribed","2021","Florida","12","42,739","NA","34.1"
"Linkage to HIV care","2021","Florida","12","3,366","NA","82.7"
"HIV prevalence","2021","Florida","12","117,239","621.8","NA"
"HIV diagnoses","2021","Florida","12","3,892","20.6","NA"
"HIV deaths","2021","Florida","12","2,452","13.0","NA"
"AIDS prevalence","2021","Florida","12","59,687","316.6","NA"
"AIDS deaths","2021","Florida","12","1,879","10.0","NA"
"HIV Stigma","2021","Florida","12","No Suppression","28.9 (25.5 - 32.3)","NA"
"Unstable Housing or Homelessness","2021","Florida","12","No Suppression","18.7 (13.1 - 24.2)","NA"
"Receipt of HIV medical care","2021","Georgia","13","41,473","NA","72.7"
"PrEP coverage and number of persons prescribed","2021","Georgia","13","12,189","NA","31.2"
